Index ,Close,CloseTotRetc,CloseNetRet
"2015/12/11","32349.06","46453.87","44436.60"
"2015/12/14","31899.32","45808.03","43818.81"
"2015/12/15","31366.02","45042.20","43086.24"
"2015/12/16","32401.87","46529.70","44509.15"
"2015/12/17","32818.21","47127.57","45081.06"
"2015/12/18","32129.72","46138.89","44135.31"
"2015/12/21","32071.00","46054.57","44054.65"
"2015/12/22","32107.86","46107.50","44105.28"
"2015/12/24","32055.97","46032.98","44034.00"
"2015/12/25","31847.93","45734.23","43748.22"
"2015/12/28","32132.98","46280.33","44244.03"
"2015/12/29","32393.26","46655.20","44602.41"
"2015/12/30","32368.11","46618.98","44567.78"
"2016/01/04","31700.93","45658.06","43649.14"
"2016/01/05","31693.92","45647.96","43639.49"
"2016/01/06","31346.26","45147.23","43160.80"
"2016/01/07","30591.24","44059.79","42121.21"
"2016/01/08","30429.60","43826.98","41898.65"
"2016/01/12","29450.36","42416.61","40550.33"
"2016/01/13","30233.01","43543.84","41627.96"
"2016/01/14","29545.02","42552.95","40680.66"
"2016/01/15","29464.79","42437.40","40570.19"
"2016/01/18","29224.06","42090.68","40238.73"
"2016/01/19","29334.94","42250.38","40391.40"
"2016/01/20","28364.91","40853.27","39055.76"
"2016/01/21","27683.21","39871.43","38117.12"
"2016/01/22","29100.50","41912.72","40068.59"
"2016/01/25","29517.26","42512.97","40642.43"
"2016/01/26","28817.60","41505.27","39679.07"
"2016/01/27","29749.18","42861.99","40973.18"
"2016/01/28","29651.82","42721.72","40839.09"
"2016/01/29","30561.42","44032.25","42091.87"
"2016/02/01","31067.66","44761.63","42789.11"
"2016/02/02","30656.73","44169.57","42223.14"
"2016/02/03","29666.03","42742.19","40858.66"
"2016/02/04","29558.55","42587.34","40710.63"
"2016/02/05","29488.86","42486.93","40614.65"
"2016/02/08","29572.68","42607.70","40730.09"
"2016/02/09","27982.88","40317.15","38540.48"
"2016/02/10","27023.16","38934.41","37218.67"
"2016/02/12","25557.54","36822.78","35200.09"
"2016/02/15","27720.22","39938.73","38178.72"
